Start date,Total (grid load) [MWh] Original resolutions,Residual load [MWh] Original resolutions,Hydro pumped storage [MWh] Original resolutions
2023-01-01 00:00:00,9673.00,1842.50,494.00
2023-01-01 00:15:00,9593.50,1691.50,502.50
2023-01-01 00:30:00,9562.00,1442.50,561.00
2023-01-01 00:45:00,9517.50,1598.50,519.25
2023-01-01 01:00:00,9433.25,1325.50,301.00
2023-01-01 01:15:00,9408.50,1177.00,356.50
2023-01-01 01:30:00,9511.00,1307.25,526.00
2023-01-01 01:45:00,9424.50,1075.50,584.25
2023-01-01 02:00:00,9319.25,1080.00,640.50
2023-01-01 02:15:00,9266.75,877.75,728.25
2023-01-01 02:30:00,9211.75,1012.25,789.25
2023-01-01 02:45:00,9142.00,860.25,892.25
2023-01-01 03:00:00,9092.75,1260.25,894.50
2023-01-01 03:15:00,8964.50,1310.50,946.50
2023-01-01 03:30:00,8934.00,1400.00,939.50
2023-01-01 03:45:00,8941.25,1489.00,923.50
2023-01-01 04:00:00,8906.25,1345.75,942.75
2023-01-01 04:15:00,8855.00,1358.00,954.75
2023-01-01 04:30:00,8849.75,1416.25,966.50
2023-01-01 04:45:00,8875.25,1463.75,936.75
2023-01-01 05:00:00,8913.75,1235.00,1063.50
2023-01-01 05:15:00,8913.25,1369.75,1022.00
2023-01-01 05:30:00,8931.50,1478.00,976.25
2023-01-01 05:45:00,8888.75,1428.00,997.75
2023-01-01 06:00:00,8799.00,1258.75,1070.25
2023-01-01 06:15:00,8848.00,1375.75,1082.50
2023-01-01 06:30:00,8788.00,1327.00,1056.50
2023-01-01 06:45:00,8796.75,1377.75,1039.00
2023-01-01 07:00:00,8958.50,1252.00,879.75
2023-01-01 07:15:00,9015.25,1370.75,802.75
2023-01-01 07:30:00,9069.50,1403.50,806.00
2023-01-01 07:45:00,9129.00,1542.50,799.25
2023-01-01 08:00:00,9061.00,1576.00,741.25
2023-01-01 08:15:00,9132.50,1640.25,776.00
2023-01-01 08:30:00,9264.25,1770.00,646.00
2023-01-01 08:45:00,9371.50,1791.50,608.75
2023-01-01 09:00:00,9521.00,1769.00,463.00
2023-01-01 09:15:00,9746.25,1798.50,468.00
2023-01-01 09:30:00,9914.25,1852.75,440.25
2023-01-01 09:45:00,10045.00,1834.75,532.25
2023-01-01 10:00:00,9976.50,1547.00,434.00
2023-01-01 10:15:00,10147.00,1658.25,434.25
2023-01-01 10:30:00,10359.00,1838.25,427.75
2023-01-01 10:45:00,10523.00,1970.75,430.00
2023-01-01 11:00:00,10653.25,2028.50,399.75
2023-01-01 11:15:00,10903.75,2151.75,299.00
2023-01-01 11:30:00,11061.25,2155.75,302.00
2023-01-01 11:45:00,11084.75,2146.75,291.25
2023-01-01 12:00:00,11088.50,2342.50,317.75
2023-01-01 12:15:00,11113.50,2555.25,285.25
2023-01-01 12:30:00,11049.50,2624.25,257.00
2023-01-01 12:45:00,10954.25,2569.50,334.75
2023-01-01 13:00:00,10986.00,2590.75,481.00
2023-01-01 13:15:00,10931.75,2720.00,450.00
2023-01-01 13:30:00,10885.50,2966.50,325.25
2023-01-01 13:45:00,10818.50,3103.75,334.25
2023-01-01 14:00:00,10809.25,2528.25,607.00
2023-01-01 14:15:00,10780.50,2575.00,522.75
2023-01-01 14:30:00,10841.25,2999.75,443.25
2023-01-01 14:45:00,10800.50,3072.75,256.75
2023-01-01 15:00:00,10912.75,3052.00,457.00
2023-01-01 15:15:00,10878.50,3041.25,393.00
2023-01-01 15:30:00,10937.25,3307.50,125.25
2023-01-01 15:45:00,10963.25,3575.75,46.50
2023-01-01 16:00:00,11154.50,4008.75,52.50
2023-01-01 16:15:00,11304.75,4348.25,116.25
2023-01-01 16:30:00,11484.75,4647.25,68.75
2023-01-01 16:45:00,11724.75,5006.50,23.75
2023-01-01 17:00:00,12039.75,5424.00,45.00
2023-01-01 17:15:00,12141.50,5553.50,69.50
2023-01-01 17:30:00,12244.00,5667.50,48.00
2023-01-01 17:45:00,12306.75,5719.50,20.75
2023-01-01 18:00:00,12323.50,5814.50,113.25
2023-01-01 18:15:00,12276.75,5840.50,86.75
2023-01-01 18:30:00,12197.25,5783.75,94.00
2023-01-01 18:45:00,12084.50,5722.00,93.25
2023-01-01 19:00:00,12071.75,5764.50,95.00
2023-01-01 19:15:00,11934.50,5606.75,136.50
2023-01-01 19:30:00,11820.75,5523.25,120.50
2023-01-01 19:45:00,11641.50,5402.25,142.00
2023-01-01 20:00:00,11509.75,5254.25,49.25
2023-01-01 20:15:00,11323.00,5056.75,80.50
2023-01-01 20:30:00,11119.25,4844.50,161.75
2023-01-01 20:45:00,10931.50,4573.75,341.00
2023-01-01 21:00:00,10926.25,4398.75,111.00
2023-01-01 21:15:00,10829.50,4394.50,131.00
2023-01-01 21:30:00,10755.75,4426.75,166.25
2023-01-01 21:45:00,10711.25,4474.75,216.00
2023-01-01 22:00:00,10812.75,4730.00,126.00
2023-01-01 22:15:00,10671.00,4731.00,124.50
2023-01-01 22:30:00,10509.75,4680.00,117.50
2023-01-01 22:45:00,10284.50,4512.50,156.25
2023-01-01 23:00:00,10119.50,4358.75,92.50
2023-01-01 23:15:00,9861.25,4107.75,182.75
2023-01-01 23:30:00,9647.25,3883.50,298.50
2023-01-01 23:45:00,9464.75,3778.75,467.25
2023-01-02 00:00:00,9372.50,3799.75,532.75
2023-01-02 00:15:00,9296.75,3850.50,703.75
2023-01-02 00:30:00,9121.75,3835.75,767.50
2023-01-02 00:45:00,8998.75,3819.00,810.50
2023-01-02 01:00:00,8915.50,3696.25,744.00
2023-01-02 01:15:00,8822.50,3558.75,901.50
2023-01-02 01:30:00,8821.00,3602.75,947.50
2023-01-02 01:45:00,8864.75,3698.00,982.25
2023-01-02 02:00:00,8844.75,3449.25,820.50
2023-01-02 02:15:00,8764.50,3189.00,875.25
2023-01-02 02:30:00,8801.75,3211.25,940.00
2023-01-02 02:45:00,8873.25,3262.75,975.00
2023-01-02 03:00:00,8949.25,3251.50,1027.00
2023-01-02 03:15:00,8966.00,3139.75,1180.75
2023-01-02 03:30:00,9022.50,3099.50,1167.25
2023-01-02 03:45:00,9120.75,3106.25,1201.25
2023-01-02 04:00:00,9237.25,3043.25,1023.50
2023-01-02 04:15:00,9367.25,3090.00,1032.50
2023-01-02 04:30:00,9516.00,3160.50,1104.75
2023-01-02 04:45:00,9675.50,3158.00,1182.50
2023-01-02 05:00:00,9875.00,3368.25,1202.00
2023-01-02 05:15:00,10052.00,3484.25,1295.50
2023-01-02 05:30:00,10296.00,3603.25,1098.00
2023-01-02 05:45:00,10676.00,3805.75,777.75
2023-01-02 06:00:00,11251.00,4188.00,611.75
2023-01-02 06:15:00,11612.25,4414.50,725.25
2023-01-02 06:30:00,11974.00,4725.00,671.75
2023-01-02 06:45:00,12232.25,4912.25,439.25
2023-01-02 07:00:00,12604.25,5172.25,332.75
2023-01-02 07:15:00,12913.50,5410.25,216.25
2023-01-02 07:30:00,13261.25,5619.75,226.00
2023-01-02 07:45:00,13538.25,5672.00,159.25
2023-01-02 08:00:00,13888.50,5934.75,246.25
2023-01-02 08:15:00,14007.50,5974.25,218.25
2023-01-02 08:30:00,14152.75,5909.00,182.50
2023-01-02 08:45:00,14182.25,5796.00,253.50
2023-01-02 09:00:00,14293.75,5687.50,104.25
2023-01-02 09:15:00,14251.75,5529.50,154.25
2023-01-02 09:30:00,14379.00,5591.50,175.50
2023-01-02 09:45:00,14520.25,5649.50,213.50
2023-01-02 10:00:00,14644.25,5734.50,69.50
2023-01-02 10:15:00,14753.75,5706.75,102.00
2023-01-02 10:30:00,14875.00,5840.75,107.75
2023-01-02 10:45:00,14968.00,5891.25,40.75
